               epoch,        all/box_loss,        all/obj_loss,        all/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058454,            0.072511,            0.038582,             0.54681,            0.083223,            0.053555,            0.022848,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   1,            0.041731,            0.070592,            0.034918,             0.34097,             0.31556,             0.10963,            0.048006,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   2,            0.038457,            0.069547,            0.028089,             0.42817,             0.36322,             0.18295,            0.087797,                   0,                   0,                   0,           0.0095789,           0.0095789,           0.0095789
                   3,            0.037203,            0.068817,            0.022552,             0.43146,             0.33156,             0.17008,            0.049994,                   0,                   0,                   0,           0.0091579,           0.0091579,           0.0091579
                   4,            0.034794,            0.068734,            0.020505,             0.44775,             0.36799,             0.20177,            0.098699,                   0,                   0,                   0,           0.0087368,           0.0087368,           0.0087368
                   5,            0.033406,            0.066103,            0.018412,             0.45277,              0.3544,             0.20628,             0.10171,                   0,                   0,                   0,           0.0083158,           0.0083158,           0.0083158
                   6,             0.03306,            0.066015,            0.017996,             0.25824,             0.42399,             0.22849,              0.1106,                   0,                   0,                   0,           0.0078947,           0.0078947,           0.0078947
                   7,            0.032533,            0.066289,            0.016143,             0.26645,             0.46141,             0.23888,             0.11448,                   0,                   0,                   0,           0.0074737,           0.0074737,           0.0074737
                   8,            0.031986,            0.065936,            0.015301,             0.27648,              0.4719,             0.25089,             0.11715,                   0,                   0,                   0,           0.0070526,           0.0070526,           0.0070526
                   9,            0.031408,            0.065732,            0.014585,             0.24534,             0.48748,             0.22171,            0.072207,                   0,                   0,                   0,           0.0066316,           0.0066316,           0.0066316
                  10,             0.03076,            0.064895,            0.013544,              0.2688,             0.50936,             0.24971,             0.12314,                   0,                   0,                   0,           0.0062105,           0.0062105,           0.0062105
                  11,            0.030597,            0.063905,            0.012926,             0.24444,             0.54088,             0.24888,             0.11893,                   0,                   0,                   0,           0.0057895,           0.0057895,           0.0057895
                  12,            0.029929,            0.064846,            0.012678,              0.2487,             0.56218,             0.25209,             0.12472,                   0,                   0,                   0,           0.0053684,           0.0053684,           0.0053684
                  13,            0.029344,             0.06454,            0.012592,              0.2425,             0.57135,             0.24928,             0.10842,                   0,                   0,                   0,           0.0049474,           0.0049474,           0.0049474
                  14,            0.029348,             0.06475,            0.011591,              0.2705,             0.51416,             0.26349,             0.13218,                   0,                   0,                   0,           0.0045263,           0.0045263,           0.0045263
                  15,            0.029027,            0.063927,            0.010971,             0.25247,             0.54441,             0.25549,             0.12601,                   0,                   0,                   0,           0.0041053,           0.0041053,           0.0041053
                  16,            0.028468,             0.06271,            0.011334,             0.24833,             0.55982,             0.26083,             0.12751,                   0,                   0,                   0,           0.0036842,           0.0036842,           0.0036842
                  17,            0.028416,            0.063742,             0.01137,             0.26689,             0.53923,             0.26523,             0.13649,                   0,                   0,                   0,           0.0032632,           0.0032632,           0.0032632
                  18,            0.027815,            0.063335,            0.010725,             0.25951,             0.53613,             0.25791,             0.11353,                   0,                   0,                   0,           0.0028421,           0.0028421,           0.0028421
                  19,            0.027345,            0.063631,            0.010543,             0.25684,              0.5664,             0.25646,             0.12702,                   0,                   0,                   0,           0.0024211,           0.0024211,           0.0024211
